Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Title,Country
1,+2,Benson Boone - Beautiful Things,22,1,(x4),"5,613,842","+798,921","34,942,734","+872,488","81,671,921",Benson Boone,Beautiful Things,Global
2,=,Xavi - La Diabla,64,1,(x20),"5,194,103","+225,839","35,787,503","-396,929","286,191,130",Xavi,La Diabla,Global
3,-2,Tate McRae - greedy,148,1,(x34),"5,101,565",-639,"35,178,152","-259,951","743,490,391",Tate McRae,greedy,Global
4,=,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",125,2,(x2),"4,709,776","-76,845","33,488,250","-338,453","375,564,881",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",Global
5,=,Taylor Swift - Cruel Summer,369,2,(x17),"4,658,897","+141,806","30,698,216","+272,342","1,271,909,550",Taylor Swift,Cruel Summer,Global
6,+2,Noah Kahan - Stick Season,123,6,,"4,589,005","+455,577","28,866,320","+269,350","330,145,657",Noah Kahan,Stick Season,Global
7,-1,Mitski - My Love Mine All Mine,144,2,(x4),"4,194,054","-241,023","29,777,794","-73,532","542,268,048",Mitski,My Love Mine All Mine,Global
8,-1,21 Savage - redrum,29,6,,"4,192,394","+13,568","27,433,668",-685,"115,566,158",21 Savage,redrum,Global
9,=,Feid - LUNA (w/ ATL Jacob),67,8,,"4,110,849","-11,254","27,187,064","-3,224","208,831,844",Feid,LUNA (w/ ATL Jacob),Global
10,=,Jack Harlow - Lovin On Me,92,2,(x8),"3,975,564","+44,589","27,026,710","-317,425","384,154,381",Jack Harlow,Lovin On Me,Global
11,=,Teddy Swims - Lose Control,86,11,,"3,786,391","+132,248","24,983,580","-5,567","180,500,923",Teddy Swims,Lose Control,Global
12,+2,Miley Cyrus - Flowers,393,1,(x82),"3,481,348","+123,202","19,744,240","+1,487,244","1,743,431,970",Miley Cyrus,Flowers,Global
13,-1,"Ariana Grande - yes, and?",29,1,(x8),"3,439,341","-57,096","24,917,593","-621,939","149,363,093",Ariana Grande,"yes, and?",Global
14,-1,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",253,10,,"3,391,654","-23,845","23,567,800","-318,795","565,821,258",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",Global
15,=,YG Marley - Praise Jah In The Moonlight,15,14,,"3,368,540","+140,238","21,486,944","+862,980","35,825,145",YG Marley,Praise Jah In The Moonlight,Global
16,=,Xavi - La Víctima,80,6,,"3,182,777","+72,788","22,482,612","-331,391","221,470,027",Xavi,La Víctima,Global
17,+1,Natasha Bedingfield - Unwritten,30,17,,"3,071,207","-2,034","20,783,092","+32,009","65,454,688",Natasha Bedingfield,Unwritten,Global
18,+1,Bad Bunny - PERRO NEGRO (w/ Feid),120,3,(x1),"3,052,269","+31,241","20,215,343","-152,069","426,047,054",Bad Bunny,PERRO NEGRO (w/ Feid),Global
19,-2,Kali Uchis - Igual Que Un Ángel (w/ Peso Pluma),29,8,,"3,024,302","-74,900","22,238,450","-601,452","103,902,104",Kali Uchis,Igual Que Un Ángel (w/ Peso Pluma),Global
20,+2,Sophie Ellis-Bextor - Murder On The Dancefloor,41,12,,"2,914,622","+123,125","20,375,386","-494,548","114,447,338",Sophie Ellis,Bextor - Murder On The Dancefloor,Global
21,=,Dua Lipa - Houdini,92,2,(x1),"2,912,384","+106,962","19,458,814","-44,937","230,008,777",Dua Lipa,Houdini,Global
22,-2,Arctic Monkeys - I Wanna Be Yours,583,11,,"2,905,987","-48,120","20,245,107","-105,532","1,335,803,008",Arctic Monkeys,I Wanna Be Yours,Global
23,+1,Flo Milli - Never Lose Me,29,23,,"2,836,943","+82,964","18,658,449","+102,868","66,651,865",Flo Milli,Never Lose Me,Global
24,+1,Kenya Grace - Strangers,162,3,(x1),"2,800,196","+78,466","18,616,426","-67,419","534,150,166",Kenya Grace,Strangers,Global
25,+5,KAROL G - QLONA (w/ Peso Pluma),183,4,,"2,725,958","+120,990","17,312,763","+74,118","596,601,547",KAROL G,QLONA (w/ Peso Pluma),Global
26,-3,Jung Kook - Seven (w/ Latto),211,1,(x71),"2,710,334","-56,328","19,042,918","-71,898","1,204,225,413",Jung Kook,Seven (w/ Latto),Global
27,+9,Myke Towers - LA FALDA,45,27,,"2,703,398","+263,747","15,762,376","+440,239","71,046,317",Myke Towers,LA FALDA,Global
28,=,Olivia Rodrigo - vampire,225,1,(x7),"2,692,973","+39,592","17,608,161","+332,843","748,237,989",Olivia Rodrigo,vampire,Global
29,=,Peso Pluma - BELLAKEO (w/ Anitta),63,8,,"2,678,470","+34,273","18,669,236","-305,027","175,038,992",Peso Pluma,BELLAKEO (w/ Anitta),Global
30,-3,SZA - Snooze,418,25,,"2,668,243","-46,209","16,658,559","+687,687","750,595,195",SZA,Snooze,Global
1,+1,Noah Kahan - Stick Season,459,1,(x1),"1,838,333","+283,558","10,773,064","+293,497","264,132,943",Noah Kahan,Stick Season,United States
2,-1,Benson Boone - Beautiful Things,22,1,(x5),"1,828,892","+257,913","11,576,819","+204,523","28,862,104",Benson Boone,Beautiful Things,United States
3,NEW,Noah Kahan - Forever,1,3,(x1),"1,797,708",,"1,797,708","+1,797,708","1,797,708",Noah Kahan,Forever,United States
4,-1,21 Savage - redrum,29,1,(x1),"1,498,382","+10,184","9,757,244","-25,829","43,120,602",21 Savage,redrum,United States
5,-1,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),169,1,(x7),"1,424,709","+59,950","9,035,429","+78,778","216,707,815",Zach Bryan,I Remember Everything (w/ Kacey Musgraves),United States
6,-1,Jack Harlow - Lovin On Me,92,1,(x37),"1,370,957","+41,848","9,122,304","-58,815","138,226,218",Jack Harlow,Lovin On Me,United States
7,-1,Flo Milli - Never Lose Me,46,5,,"1,336,801","+54,141","8,724,228","+22,900","39,258,827",Flo Milli,Never Lose Me,United States
8,=,Xavi - La Diabla,60,5,,"1,181,155","+79,696","7,635,737","-5,710","54,461,203",Xavi,La Diabla,United States
9,-2,Mitski - My Love Mine All Mine,147,2,(x4),"1,137,743","-54,454","7,830,554","-2,247","156,545,770",Mitski,My Love Mine All Mine,United States
10,=,Tate McRae - greedy,148,3,(x5),"1,061,692","+18,308","7,189,661","-36,537","150,245,165",Tate McRae,greedy,United States
11,=,Taylor Swift - Cruel Summer,456,1,(x2),"1,049,850","+54,336","6,906,898","+44,788","358,602,623",Taylor Swift,Cruel Summer,United States
12,-3,SZA - Snooze,428,9,,"1,040,757","-8,535","6,670,956","+209,860","281,311,802",SZA,Snooze,United States
13,-1,Teddy Swims - Lose Control,94,11,,"1,004,735","+15,669","6,591,026","+22,114","52,802,936",Teddy Swims,Lose Control,United States
14,-1,Rich Amiri - ONE CALL,28,13,,"953,616","-1,447","6,059,895","+101,084","16,445,696",Rich Amiri,ONE CALL,United States
15,=,Zach Bryan - Something in the Orange,659,4,,"907,959","+53,389","5,839,849","+20,735","446,065,710",Zach Bryan,Something in the Orange,United States
16,=,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",127,10,,"842,845","+31,254","5,640,192","-19,884","89,297,054",Drake,"Rich Baby Daddy (w/ Sexyy Red, SZA)",United States
17,-3,Travis Scott - I KNOW ?,197,3,(x2),"840,960","-24,034","5,473,085","+34,615","159,379,004",Travis Scott,I KNOW ?,United States
18,+5,Morgan Wallen - Last Night,375,1,(x56),"814,682","+48,843","5,146,688","+35,685","471,857,547",Morgan Wallen,Last Night,United States
19,-1,"JID - Surround Sound (w/ 21 Savage, Baby Tate)",130,9,,"794,003","-10,817","5,433,531","-98,205","78,605,469",JID,"Surround Sound (w/ 21 Savage, Baby Tate)",United States
20,=,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",73,15,,"793,215","-7,906","5,545,662","-82,526","44,046,190",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",United States
21,-4,Travis Scott - FE!N,196,2,(x4),"791,032","-16,250","4,912,324","+158,310","115,272,081",Travis Scott,FE!N,United States
22,=,Lil Tecca - 500lbs,152,12,,"783,899","+15,605","5,331,532","-28,141","111,013,438",Lil Tecca,500lbs,United States
23,+4,Xavi - La Víctima,72,14,,"780,436","+26,593","5,190,154","-28,709","47,242,697",Xavi,La Víctima,United States
24,-5,Megan Thee Stallion - HISS,15,1,(x6),"775,044","-29,715","7,104,258","-1,054,436","19,214,353",Megan Thee Stallion,HISS,United States
25,-1,Olivia Rodrigo - vampire,225,1,(x12),"766,394","+2,448","5,072,021","+108,829","218,807,294",Olivia Rodrigo,vampire,United States
26,-5,Kali Uchis - Igual Que Un Ángel (w/ Peso Pluma),29,6,,"764,510","-23,651","5,620,930","-162,354","27,536,384",Kali Uchis,Igual Que Un Ángel (w/ Peso Pluma),United States
27,-2,Luke Combs - Fast Car,321,3,(x3),"763,532","+7,197","4,533,486","+287,366","217,882,642",Luke Combs,Fast Car,United States
28,+140,Kacey Musgraves - Deeper Well,2,28,,"757,226","+378,309","1,136,143","+757,226","1,136,143",Kacey Musgraves,Deeper Well,United States
29,-1,4batz - act ii: date @ 8,35,25,,"736,574","-15,809","5,075,454","-9,290","21,202,898",4batz,act ii: date @ 8,United States
30,-1,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",208,3,(x1),"735,583","-14,472","5,162,736","-102,327","99,820,159",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",United States
1,=,Noah Kahan - Stick Season,131,1,(x45),"777,510","+91,005","5,021,224","-14,457","58,247,969",Noah Kahan,Stick Season,United Kingdom
2,=,Sophie Ellis-Bextor - Murder On The Dancefloor,53,2,(x33),"444,534","+46,419","2,984,999","-90,441","21,270,106",Sophie Ellis,Bextor - Murder On The Dancefloor,United Kingdom
3,+2,Benson Boone - Beautiful Things,22,3,(x2),"415,931","+100,019","2,335,068","+93,358","5,405,943",Benson Boone,Beautiful Things,United Kingdom
4,-1,Teddy Swims - Lose Control,78,3,(x7),"389,600","+32,615","2,571,483","-14,039","15,348,398",Teddy Swims,Lose Control,United Kingdom
5,-1,Jack Harlow - Lovin On Me,92,1,(x20),"349,630","+21,545","2,343,435","-34,359","40,417,229",Jack Harlow,Lovin On Me,United Kingdom
6,=,YG Marley - Praise Jah In The Moonlight,29,5,,"326,051","+23,473","2,119,054","+68,097","5,145,753",YG Marley,Praise Jah In The Moonlight,United Kingdom
7,+1,"cassö - Prada (w/ RAYE, D-Block Europe)",183,3,(x7),"318,389","+34,029","2,004,852","-3,282","51,079,188",cassö,"Prada (w/ RAYE, D-Block Europe)",United Kingdom
8,-1,Tate McRae - greedy,148,2,(x25),"305,661","+11,902","2,059,090","-14,757","47,057,515",Tate McRae,greedy,United Kingdom
9,+1,"Ariana Grande - yes, and?",29,1,(x1),"280,364","+28,544","1,870,396","-36,664","10,802,882",Ariana Grande,"yes, and?",United Kingdom
10,+1,Taylor Swift - Cruel Summer,349,3,(x17),"272,786","+30,381","1,790,769","+9,876","73,024,648",Taylor Swift,Cruel Summer,United Kingdom
11,-2,Natasha Bedingfield - Unwritten,45,9,,"261,417",+772,"1,718,232",+379,"8,296,309",Natasha Bedingfield,Unwritten,United Kingdom
12,=,Kenya Grace - Strangers,162,1,(x31),"258,823","+17,019","1,698,296","-8,155","51,480,966",Kenya Grace,Strangers,United Kingdom
13,=,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",253,7,,"245,261","+14,442","1,677,733","-22,291","43,438,877",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",United Kingdom
14,=,21 Savage - redrum,29,8,,"238,150","+13,535","1,509,465","+7,092","6,719,153",21 Savage,redrum,United Kingdom
15,=,Flo Milli - Never Lose Me,37,13,,"235,365","+14,646","1,551,558","+5,699","6,639,148",Flo Milli,Never Lose Me,United Kingdom
16,=,Dua Lipa - Houdini,91,2,(x1),"233,676","+27,199","1,499,766","-2,475","16,486,523",Dua Lipa,Houdini,United Kingdom
17,+1,Olivia Rodrigo - vampire,225,2,(x30),"216,972","+15,883","1,397,058","+17,053","61,910,544",Olivia Rodrigo,vampire,United Kingdom
18,+2,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",127,12,,"210,543","+22,601","1,380,132","-13,254","20,722,301",Drake,"Rich Baby Daddy (w/ Sexyy Red, SZA)",United Kingdom
19,-2,Noah Kahan - Homesick (w/ Sam Fender),22,3,(x1),"207,694","+6,592","1,427,763","-41,703","6,022,528",Noah Kahan,Homesick (w/ Sam Fender),United Kingdom
20,+1,The Last Dinner Party - Nothing Matters,27,17,,"200,528","+21,336","1,221,461","-29,460","3,907,734",The Last Dinner Party,Nothing Matters,United Kingdom
21,+4,Dave - Sprinter (w/ Central Cee),254,1,(x87),"196,021","+26,351","1,189,967","+13,272","103,541,506",Dave,Sprinter (w/ Central Cee),United Kingdom
22,=,Tyla - Water,152,3,(x5),"193,441","+14,277","1,233,565","+2,843","32,840,584",Tyla,Water,United Kingdom
23,=,Vance Joy - Riptide,2906,11,,"191,846","+13,011","1,288,008","-8,384","196,958,211",Vance Joy,Riptide,United Kingdom
24,+5,Fred again.. - leavemealone (w/ Baby Keem),63,17,,"183,695","+18,946","1,174,379","-6,114","10,151,548",Fred again..,leavemealone (w/ Baby Keem),United Kingdom
25,+1,The Killers - Mr. Brightside,3338,8,,"182,453","+13,886","1,195,985","-35,182","307,062,715",The Killers,Mr. Brightside,United Kingdom
26,-7,Mitski - My Love Mine All Mine,145,8,,"180,979","-14,415","1,303,685","-3,841","27,625,841",Mitski,My Love Mine All Mine,United Kingdom
27,NEW,Noah Kahan - Forever,1,27,,"178,855",,"178,855","+178,855","178,855",Noah Kahan,Forever,United Kingdom
28,-4,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",80,21,,"176,917","+7,165","1,251,518","-17,102","10,559,857",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",United Kingdom
29,+11,Ella Henderson - Alibi (w/ Rudimental),22,29,,"176,188","+37,594","981,912","+20,519","2,527,531",Ella Henderson,Alibi (w/ Rudimental),United Kingdom
30,-2,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),162,22,,"175,025","+10,052","1,142,700","-2,480","19,962,945",Zach Bryan,I Remember Everything (w/ Kacey Musgraves),United Kingdom
1,=,Luck Ra - HOLA PERDIDA (w/ KHEA),36,1,(x22),"686,358","+26,025","4,952,812","-242,034","25,865,661",Luck Ra,HOLA PERDIDA (w/ KHEA),Argentina
2,=,"Mesita - Una Foto Remix (w/ Nicki Nicole, Tiago PZK, Emilia)",36,1,(x10),"630,977","+13,730","4,566,742","-99,576","24,833,996",Mesita,"Una Foto Remix (w/ Nicki Nicole, Tiago PZK, Emilia)",Argentina
3,=,"Bizarrap - Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",30,2,(x1),"460,422","+14,926","3,418,653","-119,940","17,406,346",Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",Argentina
4,=,TWENTY SIX - Buscando Money (w/ Tayson Kryss),23,4,,"451,586","+37,264","3,086,363","+27,821","6,946,508",TWENTY SIX,Buscando Money (w/ Tayson Kryss),Argentina
5,=,Feid - LUNA (w/ ATL Jacob),66,5,,"418,432","+11,994","2,805,426","-8,663","17,941,646",Feid,LUNA (w/ ATL Jacob),Argentina
6,=,Luck Ra - QUE ME FALTE TODO (w/ Abel Pintos),106,2,(x5),"417,419","+31,289","2,866,862","-128,419","39,057,923",Luck Ra,QUE ME FALTE TODO (w/ Abel Pintos),Argentina
7,=,Roze Oficial - Inocente (w/ Peipper),66,3,(x2),"397,888","+20,339","2,925,745","-71,097","25,813,385",Roze Oficial,Inocente (w/ Peipper),Argentina
8,=,DJ Tao - ROZE | DJ TAO Turreo Sessions #22 (w/ Roze Oficial),71,4,,"397,069","+22,023","2,946,595","-80,809","22,054,899",DJ Tao,ROZE | DJ TAO Turreo Sessions #22 (w/ Roze Oficial),Argentina
9,=,Emilia - La_Original.mp3 (w/ TINI),99,1,(x32),"379,802","+19,655","2,749,480","-54,883","49,524,964",Emilia,La_Original.mp3 (w/ TINI),Argentina
10,=,Luck Ra - La Morocha (w/ BM),218,1,(x72),"338,287","+16,306","2,527,678","-148,063","98,836,913",Luck Ra,La Morocha (w/ BM),Argentina
11,+2,Fer Vazquez - Sin Querer (w/ Flor Alvarez),55,11,,"331,206","+35,711","2,300,128","-30,669","12,056,684",Fer Vazquez,Sin Querer (w/ Flor Alvarez),Argentina
12,+3,Salastkbron - Tal Para Cual,29,12,,"318,644","+31,256","2,140,364","+4,710","6,288,100",Salastkbron,Tal Para Cual,Argentina
13,-2,Emilia - Exclusive.mp3,99,3,(x23),"317,237","+15,834","2,307,667","-58,679","35,860,408",Emilia,Exclusive.mp3,Argentina
14,-2,Milo j - M.A.I,71,12,,"312,386","+16,844","2,139,165","-18,887","14,928,399",Milo j,M.A.I,Argentina
15,-1,"Marama - Bronceado - Remix (w/ MYA, Robleis)",58,8,,"312,101","+20,463","2,368,244","-83,744","17,667,428",Marama,"Bronceado - Remix (w/ MYA, Robleis)",Argentina
16,+1,"Emanero - SINVERGÜENZA - con Angela Torres (w/ Karina, j mena, Angela Torres)",66,13,,"282,230","+23,486","2,041,093","-43,889","17,453,323",Emanero,"SINVERGÜENZA - con Angela Torres (w/ Karina, j mena, Angela Torres)",Argentina
17,-1,Rusherking - Besos con Fernet (w/ Marama),94,7,,"281,283","+16,947","2,075,620","-63,199","25,856,109",Rusherking,Besos con Fernet (w/ Marama),Argentina
18,=,"YSY A - FLECHAZO EN EL CENTRO (w/ Bhavi, Milo j)",156,7,,"272,995","+23,261","1,802,180","-20,499","44,950,823",YSY A,"FLECHAZO EN EL CENTRO (w/ Bhavi, Milo j)",Argentina
19,=,"Marka Akme - Linda - Remix (w/ Migrantes, DJ Tao, Lauty Gram, Peipper)",133,3,(x17),"257,691","+10,661","1,902,839","-40,018","46,847,048",Marka Akme,"Linda - Remix (w/ Migrantes, DJ Tao, Lauty Gram, Peipper)",Argentina
20,=,"Big One - Mentiras | CROSSOVER #3 (w/ Ulises Bueno, Rusherking)",199,4,,"241,219","+11,957","1,715,748","-20,794","65,679,958",Big One,"Mentiras | CROSSOVER #3 (w/ Ulises Bueno, Rusherking)",Argentina
21,+7,Tiago PZK - Piel (w/ Ke Personajes),8,21,,"232,100","+40,007","1,282,243","+81,626","1,432,717",Tiago PZK,Piel (w/ Ke Personajes),Argentina
22,-1,"Big One - Un Finde | CROSSOVER #2 (w/ FMK, Ke Personajes)",311,1,(x54),"227,359","+11,061","1,669,411","-29,225","145,921,583",Big One,"Un Finde | CROSSOVER #2 (w/ FMK, Ke Personajes)",Argentina
23,-1,BM - Ni Una Ni Dos,225,1,(x2),"221,151","+7,361","1,673,892","-43,072","85,508,216",BM,Ni Una Ni Dos,Argentina
24,-1,Los Ángeles Azules - El Amor De Mi Vida (w/ Maria Becerra),176,11,,"219,937","+15,926","1,586,825","-33,559","46,165,353",Los Ángeles Azules,El Amor De Mi Vida (w/ Maria Becerra),Argentina
25,+1,"Maria Becerra - Piscina (w/ Chencho Corleone, Ovy On The Drums)",93,19,,"214,404","+15,527","1,478,642","-7,739","19,239,584",Maria Becerra,"Piscina (w/ Chencho Corleone, Ovy On The Drums)",Argentina
26,-2,Grupo Frontera - OJITOS ROJOS (w/ Ke Personajes),204,3,(x2),"213,147","+10,812","1,625,904","-35,300","61,686,441",Grupo Frontera,OJITOS ROJOS (w/ Ke Personajes),Argentina
27,+6,Myke Towers - LA FALDA,73,27,,"210,412","+40,669","1,036,095","+77,985","5,757,764",Myke Towers,LA FALDA,Argentina
28,-3,El Joan - Le Gustan lo' Flaites (w/ Celso El Potente),82,20,,"207,730","+6,709","1,446,575","-17,324","16,704,494",El Joan,Le Gustan lo' Flaites (w/ Celso El Potente),Argentina
29,-2,Emilia - GTA.mp3,155,2,(x5),"203,492","+4,792","1,475,604","-32,696","50,779,183",Emilia,GTA.mp3,Argentina
30,-1,"Gusty dj - El Super Junte Rkt (w/ Salastkbron, Callejero Fino, Alejo Isakk, R Jota, L-Gante, Lolo OG, DobleP, Lauty Gram)",71,18,,"197,874","+11,950","1,442,095","-32,056","15,165,874",Gusty dj,"El Super Junte Rkt (w/ Salastkbron, Callejero Fino, Alejo Isakk, R Jota, L-Gante, Lolo OG, DobleP, Lauty Gram)",Argentina
1,=,Noah Kahan - Stick Season,127,1,(x14),"338,146",-986,"2,337,327","-4,852","22,368,505",Noah Kahan,Stick Season,Australia
2,+1,Benson Boone - Beautiful Things,22,2,(x3),"291,959","+23,745","1,872,625","+52,885","4,150,846",Benson Boone,Beautiful Things,Australia
3,-1,Jack Harlow - Lovin On Me,92,1,(x72),"285,470",+796,"1,973,085","-18,635","29,349,292",Jack Harlow,Lovin On Me,Australia
4,+1,Taylor Swift - Cruel Summer,370,1,(x1),"246,666","+10,564","1,626,122","+21,243","52,373,112",Taylor Swift,Cruel Summer,Australia
5,+1,"cassö - Prada (w/ RAYE, D-Block Europe)",181,4,,"227,080","+14,223","1,490,515","-3,643","29,137,187",cassö,"Prada (w/ RAYE, D-Block Europe)",Australia
6,-2,Tate McRae - greedy,148,1,(x9),"225,805","-12,210","1,647,414","-10,812","33,675,975",Tate McRae,greedy,Australia
7,=,Teddy Swims - Lose Control,98,6,,"201,667","-6,522","1,406,590","-7,161","10,950,605",Teddy Swims,Lose Control,Australia
8,=,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),169,4,,"197,324","-2,409","1,361,680","-1,672","28,214,392",Zach Bryan,I Remember Everything (w/ Kacey Musgraves),Australia
9,=,Sophie Ellis-Bextor - Murder On The Dancefloor,44,4,,"165,746","-8,006","1,275,547","-48,970","6,302,996",Sophie Ellis,Bextor - Murder On The Dancefloor,Australia
10,+1,Dom Dolla - Saving Up,73,10,,"163,901","+3,312","1,125,311","-20,338","5,939,556",Dom Dolla,Saving Up,Australia
11,-1,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",253,5,,"159,477","-4,954","1,141,448","-9,187","32,362,231",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",Australia
12,+2,Zach Bryan - Something in the Orange,608,5,,"153,878","+1,448","1,050,295","-1,169","63,618,264",Zach Bryan,Something in the Orange,Australia
13,-1,Kenya Grace - Strangers,162,2,(x11),"152,665","-2,198","1,077,891","-10,283","25,652,784",Kenya Grace,Strangers,Australia
14,+5,Morgan Wallen - Last Night,375,1,(x63),"149,130","+8,373","983,567",+343,"65,184,861",Morgan Wallen,Last Night,Australia
15,+3,Doja Cat - Paint The Town Red,190,1,(x68),"148,286","+3,234","1,043,123","-13,182","42,918,181",Doja Cat,Paint The Town Red,Australia
16,+1,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",127,8,,"148,046","+2,563","940,772","+15,250","16,484,177",Drake,"Rich Baby Daddy (w/ Sexyy Red, SZA)",Australia
17,-4,21 Savage - redrum,29,13,,"146,592","-6,792","990,963","+6,248","3,720,619",21 Savage,redrum,Australia
18,-3,Natasha Bedingfield - Unwritten,41,13,,"144,981","-7,244","1,029,161",+986,"4,943,557",Natasha Bedingfield,Unwritten,Australia
19,+1,Dua Lipa - Houdini,92,7,,"142,245","+2,125","978,623","+1,662","10,962,830",Dua Lipa,Houdini,Australia
20,+1,SZA - Snooze,416,20,,"142,119","+3,830","672,325","+76,834","27,660,798",SZA,Snooze,Australia
21,+1,YG Marley - Praise Jah In The Moonlight,28,19,,"137,236","+2,723","922,323","+23,904","2,461,728",YG Marley,Praise Jah In The Moonlight,Australia
22,+3,Miley Cyrus - Flowers,393,1,(x40),"133,089","+5,187","771,300","+50,821","65,992,671",Miley Cyrus,Flowers,Australia
23,=,SZA - Kill Bill,428,1,(x26),"131,912","+2,968","621,663","+66,570","59,908,078",SZA,Kill Bill,Australia
24,-8,"Ariana Grande - yes, and?",29,3,(x1),"131,657","-14,550","1,024,231","-29,248","5,228,462",Ariana Grande,"yes, and?",Australia
25,-1,Tyla - Water,149,4,,"128,909",+778,"878,462",+604,"20,688,947",Tyla,Water,Australia
26,+3,Michael Marcagi - Scared To Start,28,26,,"127,585","+5,947","794,464","+23,089","2,495,901",Michael Marcagi,Scared To Start,Australia
27,=,Olivia Rodrigo - vampire,225,1,(x4),"125,339",+171,"843,955","+11,108","33,653,249",Olivia Rodrigo,vampire,Australia
28,=,Taylor Swift - Anti-Hero,477,1,(x32),"122,711",-362,"801,429","+21,065","62,748,890",Taylor Swift,Anti-Hero,Australia
29,+2,Luke Combs - Fast Car,323,3,(x5),"121,315","+5,043","739,170","+22,371","40,973,023",Luke Combs,Fast Car,Australia
30,-4,Flo Milli - Never Lose Me,28,23,,"119,120","-8,054","838,622","+8,312","2,718,709",Flo Milli,Never Lose Me,Australia
1,=,Natasha Bedingfield - Unwritten,33,1,(x11),"53,938","+3,212","341,783","+3,515","949,043",Natasha Bedingfield,Unwritten,Austria
2,=,Benson Boone - Beautiful Things,22,1,(x6),"52,586","+6,696","334,995","+2,125","842,850",Benson Boone,Beautiful Things,Austria
3,NEW,"skrt cobain - schwarzer toyota (w/ Mark Forster, Ski Aggu)",1,3,(x1),"38,265",,"38,265","+38,265","38,265",skrt cobain,"schwarzer toyota (w/ Mark Forster, Ski Aggu)",Austria
4,-1,Tate McRae - greedy,148,1,(x18),"30,047",-317,"205,772","-3,646","4,700,003",Tate McRae,greedy,Austria
5,-1,BENNETT - Vois sur ton chemin - Techno Mix,189,1,(x1),"28,639","+2,225","179,926","-1,529","4,609,924",BENNETT,Vois sur ton chemin - Techno Mix,Austria
6,NEW,AYLIVA - Lieb mich,1,6,,"28,412",,"28,412","+28,412","28,412",AYLIVA,Lieb mich,Austria
7,NEW,Luciano - Another Vibe (w/ Omah Lay),1,7,,"27,157",,"27,157","+27,157","27,157",Luciano,Another Vibe (w/ Omah Lay),Austria
8,NEW,Tream - HERZ MACHT BAMM (w/ treamiboii),1,8,,"26,852",,"26,852","+26,852","26,852",Tream,HERZ MACHT BAMM (w/ treamiboii),Austria
9,-4,"cassö - Prada (w/ RAYE, D-Block Europe)",182,3,(x6),"26,644","+2,169","163,428",-457,"4,587,388",cassö,"Prada (w/ RAYE, D-Block Europe)",Austria
10,-4,"Alok - LET'S GET FKD UP (w/ Mondello'G, CERES, Tribbs)",60,6,,"26,499","+3,103","161,460",-524,"1,024,311",Alok,"LET'S GET FKD UP (w/ Mondello'G, CERES, Tribbs)",Austria
11,NEW,Bonez MC - auf alles! (w/ Nizi19),1,11,,"25,467",,"25,467","+25,467","25,467",Bonez MC,auf alles! (w/ Nizi19),Austria
12,-4,Sophie Ellis-Bextor - Murder On The Dancefloor,39,5,,"25,062","+1,812","165,544","-3,095","809,707",Sophie Ellis,Bextor - Murder On The Dancefloor,Austria
13,-4,Kenya Grace - Strangers,162,1,(x17),"24,319","+1,274","155,071","-1,154","4,950,416",Kenya Grace,Strangers,Austria
14,-3,Ofenbach - Overdrive (w/ Norma Jean Martine),73,10,,"23,573","+2,347","146,565",-664,"1,067,106",Ofenbach,Overdrive (w/ Norma Jean Martine),Austria
15,-3,soffie - Für immer Frühling,8,12,,"22,948","+2,356","136,590",+812,"158,726",soffie,Für immer Frühling,Austria
16,-6,Jack Harlow - Lovin On Me,92,2,(x1),"22,400",+955,"145,325","-2,488","1,922,393",Jack Harlow,Lovin On Me,Austria
17,+5,CYRIL - Stumblin' In,30,17,,"22,029","+4,444","113,042","+6,833","325,491",CYRIL,Stumblin' In,Austria
18,-2,"Luca-Dante Spadafora - Mädchen auf dem Pferd (w/ Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer)",254,1,(x38),"21,611","+3,124","130,468",-478,"6,749,378",Luca,"Dante Spadafora - Mädchen auf dem Pferd (w/ Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer)",Austria
