Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Title,Country
11,-3,BENNETT - Vois sur ton chemin - Techno Mix,189,1,(x1),"31,412","+2,770","199,877",-742,"5,292,020",BENNETT,Vois sur ton chemin - Techno Mix,Switzerland
12,-3,Ofenbach - Overdrive (w/ Norma Jean Martine),101,6,,"30,470","+2,283","194,897",-774,"1,854,390",Ofenbach,Overdrive (w/ Norma Jean Martine),Switzerland
13,-3,Kenya Grace - Strangers,162,1,(x5),"28,278","+1,051","185,475","-1,265","5,394,497",Kenya Grace,Strangers,Switzerland
14,=,Miley Cyrus - Flowers,393,1,(x77),"27,975","+2,388","156,080","+9,763","13,566,034",Miley Cyrus,Flowers,Switzerland
15,NEW,Luciano - DTMS,1,15,,"27,883",,"27,883","+27,883","27,883",Luciano,DTMS,Switzerland
16,-4,"cassö - Prada (w/ RAYE, D-Block Europe)",182,3,(x1),"27,637","+1,259","178,236",-264,"4,650,492",cassö,"Prada (w/ RAYE, D-Block Europe)",Switzerland
17,NEW,AYLIVA - Lieb mich,1,17,,"26,563",,"26,563","+26,563","26,563",AYLIVA,Lieb mich,Switzerland
18,-5,Jack Harlow - Lovin On Me,92,3,(x5),"26,504",+240,"181,794","-3,158","2,284,776",Jack Harlow,Lovin On Me,Switzerland
19,-4,21 Savage - redrum,29,5,,"25,684",+816,"166,884","-1,691","762,261",21 Savage,redrum,Switzerland
20,-3,"Geolier - I P’ ME, TU P’ TE",3,17,,"25,521","+2,712","70,340","+25,521","70,340",Geolier,"I P’ ME, TU P’ TE",Switzerland
21,-3,Irama - Tu No,3,18,,"24,380","+1,715","68,560","+24,380","68,560",Irama,Tu No,Switzerland
22,NEW,"skrt cobain - schwarzer toyota (w/ Mark Forster, Ski Aggu)",1,22,,"24,268",,"24,268","+24,268","24,268",skrt cobain,"schwarzer toyota (w/ Mark Forster, Ski Aggu)",Switzerland
23,=,Annalisa - Sinceramente,3,23,,"24,218","+3,596","65,431","+24,218","65,431",Annalisa,Sinceramente,Switzerland
24,-8,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",251,9,,"23,372",+523,"161,441","-3,828","3,851,667",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",Switzerland
25,-5,Sophie Ellis-Bextor - Murder On The Dancefloor,37,13,,"22,649","+1,186","155,646","-2,232","692,356",Sophie Ellis,Bextor - Murder On The Dancefloor,Switzerland
26,=,"GIMS - SEYA (w/ SativaMusic, Morad)",124,13,,"22,281","+2,127","140,049",+139,"1,914,312",GIMS,"SEYA (w/ SativaMusic, Morad)",Switzerland
27,-8,Kygo - Whatever (w/ Ava Max),22,12,,"22,083",-541,"155,670","-2,466","485,365",Kygo,Whatever (w/ Ava Max),Switzerland
28,NEW,Booba - Saga,1,28,,"22,055",,"22,055","+22,055","22,055",Booba,Saga,Switzerland
29,NEW,Bonez MC - auf alles! (w/ Nizi19),1,29,,"21,807",,"21,807","+21,807","21,807",Bonez MC,auf alles! (w/ Nizi19),Switzerland
30,-3,Vance Joy - Riptide,2006,9,,"21,731","+1,671","144,781","-1,096","12,642,479",Vance Joy,Riptide,Switzerland
1,=,Patrick Brasca - I Hate Myself Sometimes (w/ 李浩瑋 Howard Lee),45,1,(x26),"48,477","-12,457","408,641","-14,753","2,735,247",Patrick Brasca,I Hate Myself Sometimes (w/ 李浩瑋 Howard Lee),Taiwan
2,=,回春丹 - 鲜花,103,2,(x2),"46,995","-9,734","369,666","-6,324","4,233,959",回春丹,鲜花,Taiwan
3,+2,LE SSERAFIM - Perfect Night,106,1,(x1),"44,703","-9,633","386,559","-15,552","6,196,637",LE SSERAFIM,Perfect Night,Taiwan
4,-1,(G)I-DLE - Super Lady,12,3,(x2),"42,882","-12,628","383,068","-14,234","635,909",(G)I,DLE - Super Lady,Taiwan
5,-1,(G)I-DLE - Wife,19,1,(x7),"42,326","-12,557","400,446","-23,050","1,076,021",(G)I,DLE - Wife,Taiwan
6,=,Jung Kook - Seven (w/ Latto),211,1,(x162),"42,224","-10,332","364,748","-14,172","16,264,281",Jung Kook,Seven (w/ Latto),Taiwan
7,+1,承桓 - 我会等,311,1,(x7),"41,070","-8,408","334,504","-8,100","17,450,534",承桓,我会等,Taiwan
8,+1,曾瑋中 - 必巡 (三立戲劇《含笑食堂》片尾曲/《嘉慶君遊臺灣》片頭曲),26,8,,"37,785","-8,587","305,909","-5,091","836,720",曾瑋中,必巡 (三立戲劇《含笑食堂》片尾曲/《嘉慶君遊臺灣》片頭曲),Taiwan
9,-2,Bestards - 離開的一路上,99,6,,"37,347","-12,805","343,313","-15,071","2,566,953",Bestards,離開的一路上,Taiwan
10,=,Taylor Swift - Cruel Summer,287,9,,"35,080","-8,255","275,203","-3,144","7,742,800",Taylor Swift,Cruel Summer,Taiwan
11,=,V - Love Me Again,183,2,(x3),"32,829","-9,535","299,002","-5,018","7,794,274",V,Love Me Again,Taiwan
12,=,aespa - Drama,91,4,,"30,719","-8,830","274,441","-13,144","3,905,657",aespa,Drama,Taiwan
13,=,Tate McRae - greedy,143,9,,"29,722","-9,193","268,186","-10,880","4,763,732",Tate McRae,greedy,Taiwan
14,=,TWICE - I GOT YOU,7,7,,"29,205","-8,939","261,670","-19,820","310,695",TWICE,I GOT YOU,Taiwan
15,+1,Patrick Brasca - 3am - Demo Ver.,106,4,,"28,885","-6,593","265,616","-15,356","4,712,164",Patrick Brasca,3am - Demo Ver.,Taiwan
16,-1,(G)I-DLE - Queencard,271,1,(x53),"28,807","-7,053","246,861","-8,558","13,243,586",(G)I,DLE - Queencard,Taiwan
17,=,卢卢快闭嘴 - 字字句句,262,4,,"28,098","-6,960","247,412","-10,830","10,226,242",卢卢快闭嘴,字字句句,Taiwan
18,=,斑恩Ben - 喜歡你,69,5,,"26,807","-7,935","227,511","-6,748","2,735,688",斑恩Ben,喜歡你,Taiwan
19,+1,YOASOBI - アイドル,304,2,(x1),"26,792","-6,189","223,524","-8,584","10,698,226",YOASOBI,アイドル,Taiwan
20,-1,张妙格 - 我期待的不是雪（Điều Anh Mong Đợi Không Phải Là Tuyết）,66,9,,"26,358","-7,419","224,091","-7,235","2,363,255",张妙格,我期待的不是雪（Điều Anh Mong Đợi Không Phải Là Tuyết）,Taiwan
21,+1,陳華 - 想和你看五月的晚霞,474,3,(x60),"26,179","-5,524","224,275","-7,816","18,044,511",陳華,想和你看五月的晚霞,Taiwan
22,-1,Bestards - 不是因為天氣晴朗才愛你,1559,4,,"25,672","-6,673","244,523","-13,036","35,329,777",Bestards,不是因為天氣晴朗才愛你,Taiwan
23,+5,高爾宣 OSN - Without You,1771,1,(x82),"24,943","-5,328","223,242","-10,654","44,211,952",高爾宣 OSN,Without You,Taiwan
24,+1,IVE - I AM,306,2,(x19),"24,517","-6,557","210,003","-7,770","10,275,838",IVE,I AM,Taiwan
25,+2,NewJeans - Super Shy,218,1,(x5),"24,498","-6,070","210,033","-7,024","9,747,620",NewJeans,Super Shy,Taiwan
26,-3,告五人 - 一念之間,361,11,,"24,411","-7,105","207,541","-4,670","8,600,878",告五人,一念之間,Taiwan
27,-3,"elijah woods - 24/7, 365",162,22,,"24,382","-7,080","207,679","-7,047","4,213,945",elijah woods,"24/7, 365",Taiwan
